test_time_second,voltage_volt,current_ampere,unix_time_second,step_id,step_type,ambient_temperature_celsius,step_time_second,charging_capacity_ah,discharging_capacity_ah,net_capacity_ah,step_cumulative_capacity_ah,charging_energy_wh,discharging_energy_wh,net_energy_wh,step_cumulative_energy_wh,temperature_t1_celsius
640.0,3.7381625175257795,0.0,1749201007.97,4,CHA,25.0625,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8125
1649.0,3.8144220556059736,4.999872415486607,1749201008.98,4,CHA,25.0625,1012.0,0.0013957617081246099,0.0,0.0013957617081246099,0.0013957617081246099,0.005319763993696824,0.0,0.005319763993696824,0.005319763993696824,25.8125
2647.0,3.8186463448873837,4.999872415486607,1749201009.97,4,CHA,25.0625,2010.0,0.0027804485965248205,0.0,0.0027804485965248205,0.0027804485965248205,0.010604754794997007,0.0,0.010604754794997007,0.010604754794997007,25.8125
3651.0,3.822092475616955,4.999872415486607,1749201010.98,4,CHA,25.0625,3014.0,0.0041762463125252225,0.0,0.0041762463125252225,0.0041762463125252225,0.01593740844413105,0.0,0.01593740844413105,0.01593740844413105,25.75
4649.0,3.8250939443169045,4.999872415486607,1749201011.98,4,CHA,25.0625,4012.0,0.0055623318065158855,0.0,0.0055623318065158855,0.0055623318065158855,0.02123733989617449,0.0,0.02123733989617449,0.02123733989617449,25.75
5653.0,3.8276507509872317,4.999872415486607,1749201012.98,4,CHA,25.0625,5016.0,0.006944240988040917,0.0,0.006944240988040917,0.006944240988040917,0.02652515299413949,0.0,0.02652515299413949,0.02652515299413949,25.75
6654.0,3.830207557657559,4.999872415486607,1749201013.98,4,CHA,25.0625,6017.0,0.008346998174587839,0.0,0.008346998174587839,0.008346998174587839,0.031896336568649986,0.0,0.031896336568649986,0.031896336568649986,25.75
7654.0,3.8324308678056695,4.999872415486607,1749201014.98,4,CHA,25.0625,7017.0,0.009735851623318581,0.0,0.009735851623318581,0.009735851623318581,0.03721752533220979,0.0,0.03721752533220979,0.03721752533220979,25.75
8646.0,3.8345430124463746,4.999872415486607,1749201015.97,4,CHA,25.0625,8009.0,0.011114988399100412,0.0,0.011114988399100412,0.011114988399100412,0.04250447655317657,0.0,0.04250447655317657,0.04250447655317657,25.75
9647.0,3.836543991579674,4.999872415486607,1749201016.97,4,CHA,25.0625,9010.0,0.012505230701279402,0.0,0.012505230701279402,0.012505230701279402,0.04783684009868239,0.0,0.04783684009868239,0.04783684009868239,25.75
10650.0,3.8383226396981627,4.999872415486607,1749201017.98,4,CHA,25.0625,10013.0,0.013891306443099438,0.0,0.013891306443099438,0.013891306443099438,0.05315590318491559,0.0,0.05315590318491559,0.05315590318491559,25.75
11649.0,3.840101287816651,4.999872415486607,1749201018.98,4,CHA,25.0625,11012.0,0.015284336304318913,0.0,0.015284336304318913,0.015284336304318913,0.0585041940279325,0.0,0.0585041940279325,0.0585041940279325,25.75
12650.0,3.8418799359351397,4.999872415486607,1749201019.98,4,CHA,25.0625,12013.0,0.016674588608651675,0.0,0.016674588608651675,0.016674588608651675,0.06384428211788418,0.0,0.06384428211788418,0.06384428211788418,25.75
13653.0,3.8435474185462226,5.000052454823162,1749201020.98,4,CHA,25.0625,13016.0,0.018066219764307334,0.0,0.018066219764307334,0.018066219764307334,0.06919193948533575,0.0,0.06919193948533575,0.06919193948533575,25.8125
14644.0,3.8449925701424945,4.999872415486607,1749201021.97,4,CHA,25.0625,14007.0,0.019443962385452096,0.0,0.019443962385452096,0.019443962385452096,0.07448847730893249,0.0,0.07448847730893249,0.07448847730893249,25.8125
15646.0,3.846548887246172,4.999872415486607,1749201022.97,4,CHA,25.0625,15009.0,0.020832820385152218,0.0,0.020832820385152218,0.020832820385152218,0.07982981791258226,0.0,0.07982981791258226,0.07982981791258226,25.8125
16647.0,3.847994038842444,4.999872415486607,1749201023.97,4,CHA,25.0625,16010.0,0.022225840394241914,0.0,0.022225840394241914,0.022225840394241914,0.08518919985385764,0.0,0.08518919985385764,0.08518919985385764,25.8125
17646.0,3.84932802493131,4.999872415486607,1749201024.97,4,CHA,25.0625,17009.0,0.02361331504172881,0.0,0.02361331504172881,0.02361331504172881,0.09052919125838343,0.0,0.09052919125838343,0.09052919125838343,25.8125
18652.0,3.8506620110201766,4.999872415486607,1749201025.98,4,CHA,25.0,18015.0,0.025000779637025516,0.0,0.025000779637025516,0.025000779637025516,0.09587102756188415,0.0,0.09587102756188415,0.09587102756188415,25.8125
